dcterms:identifier|dcterms:type|dcterms:hasPart|dcterms:title|rdfs:label|dcterms:description|dcterms:conformsTo|rdfs:range|crowds:derivedAnnoBodyFormat|crowds:derivedAnnoBodyLabelParts|crowds:derivedAnnoBodyPurpose|crowds:derivedAnnoBodyType|crowds:derivedAnnoCombine|crowds:derivedAnnoExternalize|crowds:derivedAnnoHumanReadable|crowds:derivedAnnoMotivatedBy|crowds:derivedAnnoSerialize|crowds:externalResourceModel|crowds:uiChoice|crowds:uiComponent|crowds:uiFormGroup|crowds:uiGroup|crowds:uiHidden|crowds:uiInputDefaultValue|crowds:uiInputOptions|crowds:uiInputType|crowds:uiMultiple|crowds:uiRequired|crowds:uiSelectorType|crowds:uiSelectorValue
1|madoc:group|2;3;4|Choose what you want to tag|Describe this photograph|Please select which of the types of information you would want to capture about this photograph|||||||True|False|False||True||True|resource||madoc:form|||||True||WholeCanvasSelector|
2|madoc:group|5;6;7;8|Whole photograph|Whole photograph|Enter information about the content of the photograph|https://schema.org/subject||||||True|False|False||True||False|resource||madoc:form|||||True||WholeCanvasSelector|
3|madoc:group|9;10|Person|Person|Tag people in this image|https://schema.org/person||||||True|False|False||True||False|resource||madoc:form|||||True||madoc:boxdraw|
4|madoc:group|11|Region of Interest|Region of Interest|Tag regions of interest in the image|https://schema.org/subject||||||True|False|False||True||False|resource||madoc:form|||||True||madoc:boxdraw|
5|madoc:element||Date taken|Date taken|Do you know the specific date this photograph was taken?|https://schema.org/dateCreated||text/plain||oa:identifying|oa:TextualBody||||oa:tagging||||||||||madoc:datepicker||||
6|madoc:element||Year taken|Year taken|Do you know the year this photograph was taken?|https://schema.org/dateCreated||text/plain||oa:identifying|oa:TextualBody||||oa:tagging|||||||||1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970|madoc:dropdown||||
7|madoc:element||Place taken|Place take|Do you know where this photograph was taken?|https://schema.org/place||text/plain||oa:identifying|oa:TextualBody||||oa:tagging||||||||||madoc:mappicker||||
8|madoc:element||Description|Description|Describe the contents of this photograph.|https://purl.org/dc/terms/description||text/plain||oa:identifying|oa:TextualBody||||oa:tagging||||||||||madoc:textarea||||
9|madoc:element||Name|Name|What is this person’s name?|https://schema.org/name||text/plain||oa:identifying|oa:TextualBody||||oa:tagging||||||||||madoc:textbox||||
10|madoc:element||Additional information|Additional information|Please add any additional information you have about this person|https://purl.org/dc/terms/description||text/plain||oa:identifying|oa:TextualBody||||oa:tagging||||||||||madoc:textarea||||
11|madoc:element||More information or personal memories|More information or personal memories|Can you add more information or personal memories about your selection?|https://purl.org/dc/terms/description||text/plain||oa:identifying|oa:TextualBody||||oa:tagging||||||||||madoc:textarea||||
