dcterms:identifier|dcterms:type|dcterms:hasPart|dcterms:title|rdfs:label|dcterms:description|dcterms:conformsTo|rdfs:range|crowds:derivedAnnoBodyFormat|crowds:derivedAnnoBodyLabelParts|crowds:derivedAnnoBodyPurpose|crowds:derivedAnnoBodyType|crowds:derivedAnnoCombine|crowds:derivedAnnoExternalize|crowds:derivedAnnoHumanReadable|crowds:derivedAnnoMotivatedBy|crowds:derivedAnnoSerialize|crowds:externalResourceModel|crowds:uiChoice|crowds:uiComponent|crowds:uiFormGroup|crowds:uiGroup|crowds:uiHidden|crowds:uiInputDefaultValue|crowds:uiInputOptions|crowds:uiInputType|crowds:uiMultiple|crowds:uiRequired|crowds:uiSelectorType|crowds:uiSelectorValue
2|madoc:group|52;69;126;160|WW1 Top Level|Top level choice|Top level choice|||text/plain|||text/plain|False|False|False|oa:tagging|True||True|||madoc:form|||||False|||
3|madoc:group|4;5;6;7;8;9;10;11;12;13;14|R. 41 : Page 1 [pre mid 1916]|Page 1|First page of beige R41 form, pre mid-1916.|||text/plain|||text/plain|False|False|False|oa:tagging|True||False|||madoc:form|||||False||WholeCanvasSelector|
4|madoc:element||R41_1a: LocalTribunal|Name of Local Tribunal|Name of Local Tribunal|schema:AdministrativeArea|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||case|||||madoc:dropdown|||madoc:boxdraw|#xywh=percent:65.3889515219842,7.90408525754885,23.7034949267193,4.10301953818828
5|madoc:element||R41_1a: CaseNumber|Number of Case|Number of Case|dcterms:identifier|xsd:integer|text/plain||oa:identifying|text/plain||||oa:tagging|||||case|||||madoc:textbox|||madoc:boxdraw|#xywh=percent:78.4949267192785,12.,10.597519729425,2.59325044404973
6|madoc:element||R41_1a: NameofMan|Name|Name (in full) of man in respect of whom the application is made|foaf:name|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||person|||||madoc:textbox|||madoc:boxdraw|#xywh=percent:50.7891770011274,28.0994671403197,39.9943630214205,2.7886323268206
7|madoc:element||R41_1a: Age|Age|Age of man (in respect of whom the application is being made)|foaf:age|xsd:integer|text/plain||oa:identifying|text/plain||||oa:tagging|||||person|||||madoc:textbox|||madoc:boxdraw|#xywh=percent:50.7891770011274,30.9946714031972,39.9943630214205,2.69982238010657
8|madoc:element||R41_1a: ManAddress|Address|Address (in full) of man in respect of whom the application is made|schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||person|||||madoc:textbox|||madoc:boxdraw|#xywh=percent:50.7891770011274,33.7833037300178,39.9943630214205,3.49911190053286
9|madoc:element||R41_1a: Occupation|Occupation|Occupation, profession, or business of man on behalf of whom the application is made|schema:jobTitle|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||person|||||madoc:textbox|||madoc:boxdraw|#xywh=percent:10.2029312288613,39.5026642984014,86.1894024802706,5.68383658969805
10|madoc:element||R41_1a: EmployerName|Name of employer|Name of employer|schema:legalName|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||employer|||||madoc:textbox|||madoc:boxdraw|#xywh=percent:50.7891770011274,45.4529307282416,39.9943630214205,2.59325044404973
11|madoc:element||R41_1a: EmployerAddress|Employer Address|Address of employer|schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||employer|||||madoc:textbox|||madoc:boxdraw|#xywh=percent:50.7891770011274,48.2060390763766,39.9943630214205,2.59325044404973
12|madoc:element||R41_1a: Business|Business|Type of business of employer|schema:BusinessEntityType|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||employer|||||madoc:textbox|||madoc:boxdraw|#xywh=percent:50.7891770011274,50.9946714031972,39.9943630214205,3.00177619893428
13|madoc:element||R41_1a: Grounds|Grounds|Grounds for application|dcndl:transcription|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||grounds|||||madoc:textbox|||madoc:boxdraw|#xywh=percent:19.5039458850056,57.4955595026643,64.7970687711387,2.29129662522203
14|madoc:element||R41_1a: NatureOfApplication|Nature of Application|Nature of Application, e.g. Conditional, Absolute, Temporary.|dcndl:transcription|rdfs:literal|text/plain||oa:describing|text/plain||||oa:tagging|||||nature of application|||||madoc:textbox|||madoc:boxdraw|#xywh=percent:18.5738444193912,66.5008880994671,68.9966178128523,6.99822380106572
15|madoc:group|16;17;18;19;20;21;22|R. 41 : Page 2 [pre mid 1916]|Page 2|Second page of beige R41 form, pre mid-1916.|||text/plain|||text/plain|False|False|False|oa:tagging|True||False|||madoc:form|||||False||madoc:boxdraw|
16|madoc:element||R41_2a: Reason|Reason for application|Reason for application|dbpedia:purpose|rdfs:literal|text/plain||oa:describing|text/plain||||oa:tagging|||||reason|||||madoc:textarea|||madoc:boxdraw|#xywh=percent:9.60130187144019,12.0512820512821,82.9943043124492,19.4871794871795
17|madoc:element||R41_2a: ApplicantSignature|Signature|Signature of the Person making the application|dbpedia:signature|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||applicant|||||madoc:textbox|||madoc:boxdraw|#xywh=percent:59.1944670463792,31.948717948718,27.9902359641985,3.12820512820513
18|madoc:element||R41_2a: ApplicantAddress|Address of Applicant|Address of the person making the application|schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||applicant|||||madoc:textbox|||madoc:boxdraw|#xywh=percent:54.1090317331164,35.7948717948718,33.1163547599675,3.28205128205128
19|madoc:element||R41_2a: ApplicantOccupation|Applicant Occupation|Occupation of the person making the application|schema:jobTitle|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||applicant|||||madoc:textarea|||madoc:boxdraw|#xywh=percent:10.2,44,86.2,2.2
