dcterms:identifier|dcterms:type|dcterms:hasPart|dcterms:title|rdfs:label|dcterms:description|dcterms:conformsTo|rdfs:range|crowds:derivedAnnoBodyFormat|crowds:derivedAnnoBodyLabelParts|crowds:derivedAnnoBodyPurpose|crowds:derivedAnnoBodyType|crowds:derivedAnnoCombine|crowds:derivedAnnoExternalize|crowds:derivedAnnoHumanReadable|crowds:derivedAnnoMotivatedBy|crowds:derivedAnnoSerialize|crowds:externalResourceModel|crowds:uiChoice|crowds:uiComponent|crowds:uiFormGroup|crowds:uiGroup|crowds:uiHidden|crowds:uiInputDefaultValue|crowds:uiInputOptions|crowds:uiInputType|crowds:uiMultiple|crowds:uiRequired|crowds:uiSelectorType|crowds:uiSelectorValue
1|madoc:group|30;31;32;33;170|Choose the type of form that best matches the page you can see. |Choose the type of form that best matches the page you can see. ||||text/plain|||text/plain|False|False|False|oa:tagging|True||True|||madoc:form|||||False|||
30|madoc:group|2;21|Beige form|Beige form|(R41 or R42) Military Service Act, 1916, Application as to Exemption|||text/plain|||text/plain|False|False|False|oa:tagging|True||True|||madoc:form|||||False||WholeCanvasSelector|
31|madoc:group|53;66|Pink form|Pink form|(R43 or R44) Notice of Appeal|||text/plain|||text/plain|False|False|False|oa:tagging|True||True|||madoc:form|||||False||WholeCanvasSelector|
32|madoc:group|94;117|Blue form|Blue form|(R52 or R53) Form for Voluntarily Attested Men|||text/plain|||text/plain|False|False|False|oa:tagging|True||True|||madoc:form|||||False||WholeCanvasSelector|
33|madoc:group|127;152|Beige form|Beige form|(R186 or R187) Application as to Exemption from Military Service |||text/plain|||text/plain|False|False|False|oa:tagging|True||True|||madoc:form|||||False||WholeCanvasSelector|
2|madoc:group|3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;240|Page 1|Page 1|Includes the title 'Military Service Act, 1916, Application as to Exemption' and R41 or R42 in the header|||text/plain|||text/plain|False|False|False|oa:tagging|True||False|||madoc:form|||||False||WholeCanvasSelector|
3|madoc:element||LocalTribunal|Name of Local Tribunal ||schema:AdministrativeArea|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Case||||Aberaeron Borough/Urban District; Aberaeron Rural District; Aberystwyth Borough/Urban District; Aberystwyth Rural District; Cardigan Borough/Urban District; Cardigan Rural District; Lampeter Borough/Urban District; Lampeter Rural District; Llandysul Rural District; New Quay District; Tregaron District; Cardiganshire/Cardigan County; Unknown|madoc:dropdown|||WholeCanvasSelector|
4|madoc:element||CaseNumber|Number of Case||dcterms:identifier|xsd:integer|text/plain||oa:identifying|text/plain||||oa:tagging|||||Case|||||madoc:textbox|||WholeCanvasSelector|
5|madoc:element||NameofMan|Name||foaf:name|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details|||||madoc:textbox|||WholeCanvasSelector|
6|madoc:element||AgeLastBirthday|Age||foaf:age|xsd:integer|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details|||||madoc:textbox|||WholeCanvasSelector|
7|madoc:element||DateOfBirthday|Date of birth||schema:birthDate|schema:Date|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details|||||madoc:datepicker|||WholeCanvasSelector|
8|madoc:element||Married|Married or single||foaf:name|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details|||||madoc:textbox|||WholeCanvasSelector|
9|madoc:element||DateOfMarriage|Date of marriage||schema:Date|schema:Date|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details|||||madoc:datepicker|||WholeCanvasSelector|
10|madoc:element||ManAddress|Address||schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details|||||madoc:textbox|||WholeCanvasSelector|
11|madoc:element||ManAddressRegistration|Address at date of National Registration||schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details|||||madoc:textbox|||WholeCanvasSelector|
12|madoc:element||Occupation|Occupation, profession or business||schema:jobTitle|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Occupation|||||madoc:textbox|||WholeCanvasSelector|
13|madoc:element||Location|Precise occupation before 15 August 1915||schema:location|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Occupation|||||madoc:textbox|||WholeCanvasSelector|
14|madoc:element||EmploymentDuration|Length of occupation before 15 August 1915||schema:Duration|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Occupation|||||madoc:textbox|||WholeCanvasSelector|
15|madoc:element||EmployerNameAddress|Name and address of last employer before 15 August 1915||schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Occupation|||||madoc:textbox|||WholeCanvasSelector|
16|madoc:element||EmployerName|Name of present employer||schema:legalName|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Present employer|||||madoc:textbox|||WholeCanvasSelector|
17|madoc:element||EmployerAddress|Employer address ||schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Present employer|||||madoc:textbox|||WholeCanvasSelector|
18|madoc:element||Business|Business||schema:BusinessEntityType|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Present employer|||||madoc:textbox|||WholeCanvasSelector|
19|madoc:element||Grounds|Grounds ||dcndl:transcription|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Grounds|||||madoc:textbox|||WholeCanvasSelector|
20|madoc:element||NatureOfApplication|Nature of application ||dcndl:transcription|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Nature of application |||||madoc:textarea|||WholeCanvasSelector|
240|madoc:element||Tag|Tag||dcterms:identifier|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||||TRUE|Beige R41/42: Page 1||madoc:hiddenvalue|||WholeCanvasSelector|
21|madoc:group|22;23;24;25;26;27;28;29;230|Page 2|Page 2|Starts with the question: 'Reasons in support of the application'|||text/plain|||text/plain|False|False|False|oa:tagging|True||False|||madoc:form|||||False||WholeCanvasSelector|
22|madoc:element||Reasons|Reasons||dbpedia:purpose|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Reasons|||||madoc:textarea|||WholeCanvasSelector|
23|madoc:element||Previous|Previous applications||dcndl:transcription|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Previous applications|||||madoc:textarea|||WholeCanvasSelector|
24|madoc:element||Signature|Signature||dbpedia:signature|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Applicant details|||||madoc:textbox|||WholeCanvasSelector|
25|madoc:element||Address|Address||schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Applicant details|||||madoc:textbox|||WholeCanvasSelector|
26|madoc:element||Occupation|Occupation, profession or business||schema:jobTitle|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Applicant details|||||madoc:textbox|||WholeCanvasSelector|
27|madoc:element||Why|Why application made by applicant for the man ||dbpedia:purpose|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Applicant details|||||madoc:textbox|||WholeCanvasSelector|
28|madoc:element||DateofApplication|Date of application ||schema:dateCreated|schema:Date|text/plain||oa:identifying|text/plain||||oa:tagging|||||Applicant details|||||madoc:datepicker|||WholeCanvasSelector|
29|madoc:element||Decision|Decision of the Tribunal ||schema:result|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Decision|||||madoc:textarea|||WholeCanvasSelector|
230|madoc:element||Tag|Tag||dcterms:identifier|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||||TRUE|Beige R41/42: Page 2||madoc:hiddenvalue|||WholeCanvasSelector|
53|madoc:group|54;55;56;57;58;59;60;61;62;63;64;65;220|Page 1|Page 1|Includes the title 'Notice of Appeal' and R43 or R44 in the header|||text/plain|||text/plain|False|False|False|oa:tagging|True||False|||madoc:form|||||False||WholeCanvasSelector|
