dcterms:identifier|dcterms:type|dcterms:hasPart|dcterms:title|rdfs:label|dcterms:description|dcterms:conformsTo|rdfs:range|crowds:derivedAnnoBodyFormat|crowds:derivedAnnoBodyLabelParts|crowds:derivedAnnoBodyPurpose|crowds:derivedAnnoBodyType|crowds:derivedAnnoCombine|crowds:derivedAnnoExternalize|crowds:derivedAnnoHumanReadable|crowds:derivedAnnoMotivatedBy|crowds:derivedAnnoSerialize|crowds:externalResourceModel|crowds:uiChoice|crowds:uiComponent|crowds:uiFormGroup|crowds:uiGroup|crowds:uiHidden|crowds:uiInputDefaultValue|crowds:uiInputOptions|crowds:uiInputType|crowds:uiMultiple|crowds:uiRequired|crowds:uiSelectorType|crowds:uiSelectorValue
10|madoc:element||Test12_R41_1a: EmployerName|Name of employer|Name of employer|schema:legalName|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||employer||False|||madoc:textbox|||WholeCanvasSelector|
100|madoc:element||Test12_R52_1b: Married|Married or single|Married or single?|foaf:name|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||person||False|||madoc:textbox|||WholeCanvasSelector|
101|madoc:element||Test12_R52_1b: DateOfMarriage|Date of marriage|If married, date of marriage|schema:Date|schema:Date|text/plain||oa:identifying|text/plain||||oa:tagging|||||person||False|||madoc:datepicker|||WholeCanvasSelector|
102|madoc:element||Test12_R52_1b: ManAddress|Address|Address (in full) of man in respect of whom the application is made|schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||person||False|||madoc:textbox|||WholeCanvasSelector|
103|madoc:element||Test12_R52_1b: ManAddressRegistration|Address at date of National Registration|Address of man at date of National Registration|schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||person||False|||madoc:textbox|||WholeCanvasSelector|
104|madoc:element||Test12_R52_1b: WhereAttested|Where attested|Location where man attested|schema:place|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||person||False|||madoc:textbox|||WholeCanvasSelector|
105|madoc:element||Test12_R52_1b: NoGroup|No. of group|Number of group|schema:organisation|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||person||False|||madoc:textbox|||WholeCanvasSelector|
106|madoc:element||Test12_R52_1b: NoGroupCard|No. on group card|Number on group card|schema:identifier|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||person||False|||madoc:textbox|||WholeCanvasSelector|
107|madoc:element||Test12_R52_1b: Occupation|Occupation|Occupation, profession, or business of man on behalf of whom the application is made|schema:jobTitle|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||person||False|||madoc:textbox|||WholeCanvasSelector|
108|madoc:element||Test12_R52_1b: Location|Precise location|Precise location of employment before 15 August 1915|schema:location|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||person||False|||madoc:textbox|||WholeCanvasSelector|
109|madoc:element||Test12_R52_1b: EmploymentDuration|How long employed in the same or similar oocupation before August 1915|How long employed in the same or similar oocupation before August 1915|schema:Duration|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||employer||False|||madoc:textbox|||WholeCanvasSelector|
11|madoc:element||Test12_R41_1a: EmployerAddress|Employer Address|Address of employer|schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||employer||False|||madoc:textbox|||WholeCanvasSelector|
110|madoc:element||Test12_R52_1b: EmployerNameAddress|Name and address of last employer when so employed before that date|Name and address of last employer when so employed before that date|schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||employer||False|||madoc:textbox|||WholeCanvasSelector|
111|madoc:element||Test12_R52_1b: EmployerName|Name of employer, if employed person|Name of employer|schema:legalName|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||employer||False|||madoc:textbox|||WholeCanvasSelector|
